Order Date,City,Category
11/8/2016,Henderson,Furniture
11/8/2016,Henderson,Furniture
6/12/2016,Los Angeles,Office Supplies
10/11/2015,Fort Lauderdale,Furniture
10/11/2015,Fort Lauderdale,Office Supplies
6/9/2014,Los Angeles,Furniture
6/9/2014,Los Angeles,Office Supplies
6/9/2014,Los Angeles,Technology
6/9/2014,Los Angeles,Office Supplies
6/9/2014,Los Angeles,Office Supplies
6/9/2014,Los Angeles,Furniture
6/9/2014,Los Angeles,Technology
4/15/2017,Concord,Office Supplies
12/5/2016,Seattle,Office Supplies
11/22/2015,Fort Worth,Office Supplies
11/22/2015,Fort Worth,Office Supplies
11/11/2014,Madison,Office Supplies
5/13/2014,West Jordan,Office Supplies
8/27/2014,San Francisco,Office Supplies
8/27/2014,San Francisco,Technology
8/27/2014,San Francisco,Office Supplies
12/9/2016,Fremont,Office Supplies
12/9/2016,Fremont,Office Supplies
7/16/2017,Philadelphia,Furniture
9/25/2015,Orem,Furniture
1/16/2016,Los Angeles,Office Supplies
1/16/2016,Los Angeles,Technology
9/17/2015,Philadelphia,Furniture
9/17/2015,Philadelphia,Office Supplies
9/17/2015,Philadelphia,Furniture
9/17/2015,Philadelphia,Office Supplies
9/17/2015,Philadelphia,Office Supplies
9/17/2015,Philadelphia,Office Supplies
9/17/2015,Philadelphia,Office Supplies
10/19/2017,Houston,Office Supplies
12/8/2016,Richardson,Technology
12/8/2016,Richardson,Furniture
12/27/2015,Houston,Office Supplies
12/27/2015,Houston,Furniture
12/27/2015,Houston,Furniture
12/27/2015,Houston,Technology
9/10/2017,Naperville,Technology
7/17/2016,Los Angeles,Office Supplies
9/19/2017,Melbourne,Office Supplies
3/11/2016,Eagan,Technology
3/11/2016,Eagan,Office Supplies
10/20/2014,Westland,Office Supplies
6/20/2016,Dover,Technology
6/20/2016,Dover,Technology
4/18/2015,New Albany,Office Supplies
4/18/2015,New Albany,Office Supplies
4/18/2015,New Albany,Furniture
4/18/2015,New Albany,Furniture
12/11/2016,New York City,Office Supplies
12/11/2016,New York City,Technology
6/17/2016,Troy,Office Supplies
6/17/2016,Troy,Office Supplies
6/17/2016,Troy,Furniture
6/17/2016,Troy,Office Supplies
6/17/2016,Troy,Technology
6/17/2016,Troy,Office Supplies
6/17/2016,Troy,Office Supplies
11/24/2015,Los Angeles,Technology
11/24/2015,Los Angeles,Office Supplies
11/24/2015,Los Angeles,Office Supplies
11/24/2015,Los Angeles,Furniture
4/30/2015,Chicago,Furniture
12/5/2014,Gilbert,Office Supplies
12/5/2014,Gilbert,Technology
6/4/2016,Springfield,Office Supplies
9/18/2016,New York City,Office Supplies
9/14/2017,Jackson,Office Supplies
4/26/2015,Memphis,Furniture
4/26/2015,Memphis,Furniture
4/26/2015,Memphis,Office Supplies
12/9/2017,Houston,Office Supplies
12/9/2017,Houston,Furniture
12/9/2017,Houston,Office Supplies
11/26/2014,Houston,Furniture
6/12/2016,Decatur,Office Supplies
6/12/2016,Decatur,Office Supplies
10/12/2014,San Francisco,Office Supplies
10/12/2014,San Francisco,Office Supplies
9/3/2015,Durham,Office Supplies
11/13/2017,Chicago,Office Supplies
5/28/2017,Columbia,Furniture
10/26/2017,Rochester,Technology
10/26/2017,Rochester,Office Supplies
4/5/2016,Houston,Office Supplies
9/17/2016,Los Angeles,Office Supplies
9/17/2016,Los Angeles,Technology
9/17/2016,Los Angeles,Office Supplies
1/31/2015,Minneapolis,Office Supplies
1/31/2015,Minneapolis,Furniture
1/31/2015,Minneapolis,Office Supplies
11/6/2017,Portland,Office Supplies
11/9/2017,New York City,Furniture
6/17/2017,San Francisco,Office Supplies
9/6/2016,Saint Paul,Office Supplies
8/29/2016,Chicago,Office Supplies
8/29/2016,Chicago,Technology
8/29/2016,Chicago,Office Supplies
12/1/2016,Rochester,Office Supplies
11/13/2015,Aurora,Technology
11/13/2015,Aurora,Furniture
11/13/2015,Aurora,Office Supplies
11/23/2017,Charlotte,Technology
11/23/2017,Charlotte,Technology
11/23/2017,Charlotte,Office Supplies
10/15/2015,Orland Park,Technology
12/25/2017,New York City,Furniture
11/3/2016,Urbandale,Office Supplies
11/3/2016,Urbandale,Office Supplies
8/25/2014,Columbus,Office Supplies
8/25/2014,Columbus,Office Supplies
8/25/2014,Columbus,Office Supplies
8/25/2014,Columbus,Office Supplies
